feature,importance
pred_back_pct,3776.3784994482994
rDistApt,3719.5190382003784
pred_front_pct,3645.2595752477646
LR_RSR,3621.1328753232956
career_place_rate,3520.894855797291
jockey_horse_style_gap,3514.07873159647
preracehorsecareerORR2,3513.3701617121696
WPMRF5,3480.715733528137
recent_place_rate,3480.7128244042397
jockey_sr_30d,3449.969738483429
rRSR,3395.5933193564415
PFD5,3395.1199092268944
pace_position_delta,3380.6641328930855
avg_class_3,3371.491174519062
jockey_form_delta,3364.966797888279
preracehorsecareerFSARB2,3361.428604364395
residual_exp3,3361.151658654213
td_draw_bias,3330.4071293473244
draw_bias_alignment,3311.5329270362854
LR3NFPtotal,3290.8567494153976
pace_mismatch,3282.839016854763
FSS,3273.564521074295
totaljockeyrides,3268.8057398200035
horse_low_stall_nfp,3250.7551057338715
going_from_preferred,3211.556970655918
horsePlacesrank,3186.454013645649
rWPMRF3,3053.389718413353
preracehorsecareerWAX,2997.8431600928307
rFormSlope3,2993.444479942322
going_draw_alignment,2927.110351264477
trainer_sr_30d,2925.9115126132965
horse_pos_drop,2916.1937252879143
residual_exp5,2906.9898806214333
horse_high_stall_nfp,2878.3908619880676
career_nfp_std,2839.352552294731
LR2_EPF3,2821.952993988991
best_RSR,2801.8857164382935
LR_RACE_Wins,2793.2466257810593
trainer_runs_14d,2771.372662127018
preracejockeycareerWins,2722.53872692585
horse_style_consistency,2673.0970913767815
SFI,2656.6492118239403
preracehorsecareerFSARB,2604.7931692004204
rJockeyEPF,2592.099667072296
preracehorsecareerCWO,2555.1814718842506
LR3_RSR,2499.490010559559
preracehorsecareerRSR,2488.5389190912247
form_slope_3,2486.9911991357803
rOFS3,2469.64085316658
debut_x_sire_nfp,2469.0827345848083
rWPMRF5,2394.6959651708603
rOFS5,2392.6867136359215
recent_nfp_std,2370.2417291998863
LR_EPF2,2322.2032380104065
LR5_RSR,2316.895998954773
rNFP,2263.5634765028954
form_slope_5,2249.522041976452
rGoingPref,2217.8320289850235
