event_date,event_time,track,country,event_id,selection_id,selection_name,event_name,race_number,win_bsp,place_bsp,win_result,place_result,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,ppwap_place,morningwap_place,ppmax_place,ppmin_place,ipmax_place,ipmin_place,source
2024-01-06,00:00,Uttoxeter,uk,33379909,17041775,Court Master,bet365 Summer Cup Handicap Chase (GBB Race) (Class B),4,72.01,12.0,0,0,,,,,,,,,,,,,hub
2024-01-06,00:00,Uttoxeter,uk,33379909,42697745,Flaming Ambition,bet365 Summer Cup Handicap Chase (GBB Race) (Class B),4,10.54,3.45,0,0,,,,,,,,,,,,,hub
2024-01-06,00:00,Uttoxeter,uk,33379909,36204542,Go On Chez,bet365 Summer Cup Handicap Chase (GBB Race) (Class B),4,6.91,2.58,0,0,,,,,,,,,,,,,hub
2024-01-06,00:00,Uttoxeter,uk,33379909,20021464,Hang In There,bet365 Summer Cup Handicap Chase (GBB Race) (Class B),4,12.29,3.8,1,1,,,,,,,,,,,,,hub
2024-01-06,00:00,Uttoxeter,uk,33379909,41225761,Hidden Heroics,bet365 Summer Cup Handicap Chase (GBB Race) (Class B),4,6.63,2.92,0,0,,,,,,,,,,,,,hub
2024-01-06,00:00,Uttoxeter,uk,33379909,38907185,Imperial Alex,bet365 Summer Cup Handicap Chase (GBB Race) (Class B),4,8.51,3.0,0,0,,,,,,,,,,,,,hub
2024-01-06,00:00,Uttoxeter,uk,33379909,36336642,Investment Manager,bet365 Summer Cup Handicap Chase (GBB Race) (Class B),4,20.39,5.81,0,0,,,,,,,,,,,,,hub
2024-01-06,00:00,Uttoxeter,uk,33379909,41299256,Kinondo Kwetu,bet365 Summer Cup Handicap Chase (GBB Race) (Class B),4,10.5,4.0,0,0,,,,,,,,,,,,,hub
2024-01-06,00:00,Uttoxeter,uk,33379909,38806838,Milan Bridge,bet365 Summer Cup Handicap Chase (GBB Race) (Class B),4,29.0,7.97,0,0,,,,,,,,,,,,,hub
2024-01-06,00:00,Uttoxeter,uk,33379909,41803751,Mole Court,bet365 Summer Cup Handicap Chase (GBB Race) (Class B),4,10.9,4.3,0,0,,,,,,,,,,,,,hub
