race_date,time,track,placing,horse_name,last,last2,last3,last4,last5,last6,last7,last8,last9,last10,leveller,speed,jockey,trainer,stallion,today,total,odds_numerical,racetype,jockey_name,trainer_name,runners,placing_num,HorseAge,Distance,AgeRestrictions,WinPrizeMoney,UKClass,MajorType,
"2026-02-11","1.30.","Hereford","1st","The Procrastinator","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","4.5983","0.0000","0.0000","0.0000","4.5983","1.38","Maiden Hurdle","Scott, Luke","Newland, Dr R D P","9","1","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","2nd","Annies Angel (IRE)","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","3.5161","0.0000","0.0000","0.0000","3.5161","4.00","Maiden Hurdle","Bowen, James C","McGuinness, Adrian","9","2","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","5th","Mya Du Clos (FR)","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","3.2708","0.0000","0.0000","0.0000","3.2708","22.00","Maiden Hurdle","Tudor, Jack","Williams, Christian","9","5","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","PU","Whitletts","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","3.1687","0.0000","0.0000","0.0000","3.1687","1.38","Maiden Hurdle","Durrell, Tristan","Skelton, Daniel","9","0","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","4th","Uptons Mighty Oak","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","3.0644","0.0000","0.0000","0.0000","3.0644","22.00","Maiden Hurdle","Hammond, Charlie","Newland, Dr R D P","9","4","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","7th","Prettylady (FR)","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.2781","0.0000","0.0000","0.0000","2.2781","80.00","Maiden Hurdle","Wynne, Toby","Greenall, O / Guerriero, J","9","7","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","3rd","Isabella Islay","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.2697","0.0000","0.0000","0.0000","2.2697","50.00","Maiden Hurdle","Patrick, Richard","Boultbee-brooks, Clive","9","3","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","6th","Athenas Dream","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.3771","0.0000","0.0000","0.0000","1.3771","22.00","Maiden Hurdle","Best, J A","Dickin, Harriet","9","6","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","PU","Cantalice","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.3190","0.0000","0.0000","0.0000","0.3190","150.00","Maiden Hurdle","Bevan, Megan","Pickard, Ella","9","0","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.38.","Dundalk","6th","Sedro Woolley (IRE)","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.2634","0.0000","0.0000","0.0000","2.2634","2.13","Maiden","McDonogh, D P","McCreery, W","8","6","4","6f ","3yo+","6372","0",,
"2026-02-11","1.38.","Dundalk","1st","Faustyna (IRE)","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.6097","0.0000","0.0000","0.0000","1.6097","14.00","Maiden","Hayes, C D","Cromwell, Gavin Patrick","8","1","3","6f ","3yo+","6372","0",,
"2026-02-11","1.38.","Dundalk","2nd","Jazzit","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.5601","0.0000","0.0000","0.0000","1.5601","4.00","Maiden","Ryan, J J G","McCourt, T G","8","2","4","6f ","3yo+","6372","0",,
"2026-02-11","1.38.","Dundalk","7th","Spirit Above (IRE)","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.4180","0.0000","0.0000","0.0000","1.4180","1.50","Maiden","Pietropaolo, J","Smith, Kevin","8","7","3","6f ","3yo+","6372","0",,
"2026-02-11","1.38.","Dundalk","5th","Windsor Lily (IRE)","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.3819","0.0000","0.0000","0.0000","1.3819","7.00","Maiden","Heffernan, J A","Murphy, Joseph G","8","5","3","6f ","3yo+","6372","0",,
"2026-02-11","1.38.","Dundalk","8th","Sixpence Stella (IRE)","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.3461","0.0000","0.0000","0.0000","1.3461","100.00","Maiden","Ryan, Gavin","McCann, Anthony","8","8","4","6f ","3yo+","6372","0",,
"2026-02-11","1.38.","Dundalk","4th","Bye Bye Now (IRE)","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.5940","0.0000","0.0000","0.0000","0.5940","25.00","Maiden","Kidd, D A","McConnell, John C","8","4","4","6f ","3yo+","6372","0",,
"2026-02-11","1.38.","Dundalk","3rd","Oxford Circus (IRE)","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1668","0.0000","0.0000","0.0000","0.1668","40.00","Maiden","Sheridan, Mel","Hogan, Denis Gerard","8","3","4","6f ","3yo+","6372","0",,
"2026-02-11","1.44.","Southwell","1st","Shalaa Asker","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","5.1906","0.0000","0.0000","0.0000","5.1906","1.50","Handicap","Hornby, Rob","Wallis, Charlie","6","1","8","5f ","4yo+","3140","6",,
"2026-02-11","1.44.","Southwell","3rd","Papa Dont Preach (IRE)","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.9106","0.0000","0.0000","0.0000","2.9106","4.00","Handicap","Voikhansky, Alexander","Frost, Kevin","6","3","7","5f ","4yo+","3140","6",,
"2026-02-11","1.44.","Southwell","4th","Howzak","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.8916","0.0000","0.0000","0.0000","2.8916","3.50","Handicap","Garritty, Billy","Bailey, Liam","6","4","8","5f ","4yo+","3140","6",,
"2026-02-11","1.44.","Southwell","2nd","Top Star (IRE)","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.1967","0.0000","0.0000","0.0000","2.1967","22.00","Handicap","ONeill, K T","Ivory, D K","6","2","4","5f ","4yo+","3140","6",,
"2026-02-11","1.44.","Southwell","5th","Fortunate Star (IRE)","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.8291","0.0000","0.0000","0.0000","1.8291","5.50","Handicap","Stammers, Oliver","Hanlon, Stephen","6","5","6","5f ","4yo+","3140","6",,
