race_date,time,track,placing,horse_name,last,last2,last3,last4,last5,last6,last7,last8,last9,last10,leveller,speed,jockey,trainer,stallion,today,total,odds_numerical,racetype,jockey_name,trainer_name,runners,placing_num,HorseAge,Distance,AgeRestrictions,WinPrizeMoney,UKClass,MajorType,
"2026-02-11","1.30.","Hereford","1st","The Procrastinator","51.2268","32.7793","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","29.1964","74.3491","0.0000","0.0000","0.0000","6.5000","194.0516","1.38","Maiden Hurdle","Scott, Luke","Newland, Dr R D P","9","1","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","PU","Whitletts","62.6841","24.5479","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","27.9450","60.1264","0.0000","0.0000","0.0000","1.0000","176.3034","1.38","Maiden Hurdle","Durrell, Tristan","Skelton, Daniel","9","0","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","2nd","Annies Angel (IRE)","34.7318","30.8832","12.8522","13.4436","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","50.0200","0.0000","0.0000","0.0000","1.4667","143.3976","4.00","Maiden Hurdle","Bowen, James C","McGuinness, Adrian","9","2","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","6th","Athenas Dream","38.6835","23.6276","12.8180","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","8.5777","56.5194","0.0000","0.0000","0.0000","0.0000","140.2261","22.00","Maiden Hurdle","Best, J A","Dickin, Harriet","9","6","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","5th","Mya Du Clos (FR)","39.8876","16.6224","11.4087","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","7.4108","58.9631","0.0000","0.0000","0.0000","0.0000","134.2926","22.00","Maiden Hurdle","Tudor, Jack","Williams, Christian","9","5","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","4th","Uptons Mighty Oak","32.4991","20.0959","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","18.1727","57.6264","0.0000","0.0000","0.0000","0.0000","128.3940","22.00","Maiden Hurdle","Hammond, Charlie","Newland, Dr R D P","9","4","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","7th","Prettylady (FR)","37.2000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","37.2000","49.8100","0.0000","0.0000","0.0000","0.0000","124.2099","80.00","Maiden Hurdle","Wynne, Toby","Greenall, O / Guerriero, J","9","7","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","3rd","Isabella Islay","33.0411","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","33.0411","51.4200","0.0000","0.0000","0.0000","0.0000","117.5023","50.00","Maiden Hurdle","Patrick, Richard","Boultbee-brooks, Clive","9","3","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","PU","Cantalice","33.6231","16.1542","9.1011","4.3345","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","47.6900","0.0000","0.0000","0.0000","0.0000","110.9030","150.00","Maiden Hurdle","Bevan, Megan","Pickard, Ella","9","0","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.38.","Dundalk","7th","Spirit Above (IRE)","53.2916","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","53.2916","56.9300","0.0000","0.0000","0.0000","1.8000","165.3133","1.50","Maiden","Pietropaolo, J","Smith, Kevin","8","7","3","6f ","3yo+","6372","0",,
"2026-02-11","1.38.","Dundalk","6th","Sedro Woolley (IRE)","53.3506","27.1831","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","26.9292","57.6773","0.0000","0.0000","0.0000","0.0000","165.1402","2.13","Maiden","McDonogh, D P","McCreery, W","8","6","4","6f ","3yo+","6372","0",,
"2026-02-11","1.38.","Dundalk","5th","Windsor Lily (IRE)","51.5662","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","51.5662","52.4000","0.0000","0.0000","0.0000","1.7000","157.2324","7.00","Maiden","Heffernan, J A","Murphy, Joseph G","8","5","3","6f ","3yo+","6372","0",,
"2026-02-11","1.38.","Dundalk","4th","Bye Bye Now (IRE)","55.4550","18.7077","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","23.2176","48.3636","0.0000","0.0000","0.0000","0.4000","146.1439","25.00","Maiden","Kidd, D A","McConnell, John C","8","4","4","6f ","3yo+","6372","0",,
"2026-02-11","1.38.","Dundalk","2nd","Jazzit","46.0960","12.3781","9.8126","9.6542","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","57.6043","0.0000","0.0000","0.0000","1.9000","137.4453","4.00","Maiden","Ryan, J J G","McCourt, T G","8","2","4","6f ","3yo+","6372","0",,
"2026-02-11","1.38.","Dundalk","8th","Sixpence Stella (IRE)","45.6517","15.2770","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","19.0514","39.8800","0.0000","0.0000","0.0000","0.9000","120.7601","100.00","Maiden","Ryan, Gavin","McCann, Anthony","8","8","4","6f ","3yo+","6372","0",,
"2026-02-11","1.38.","Dundalk","1st","Faustyna (IRE)","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.6000","1.6000","14.00","Maiden","Hayes, C D","Cromwell, Gavin Patrick","8","1","3","6f ","3yo+","6372","0",,
"2026-02-11","1.38.","Dundalk","3rd","Oxford Circus (IRE)","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-0.4000","-0.4000","40.00","Maiden","Sheridan, Mel","Hogan, Denis Gerard","8","3","4","6f ","3yo+","6372","0",,
"2026-02-11","1.44.","Southwell","1st","Shalaa Asker","63.9000","25.3975","18.2652","7.5168","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","56.2731","0.0000","0.0000","0.0000","3.7981","175.1507","1.50","Handicap","Hornby, Rob","Wallis, Charlie","6","1","8","5f ","4yo+","3140","6",,
"2026-02-11","1.44.","Southwell","3rd","Papa Dont Preach (IRE)","35.9400","31.5010","14.2511","10.3146","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","59.3866","0.0000","0.0000","0.0000","1.9551","153.3483","4.00","Handicap","Voikhansky, Alexander","Frost, Kevin","6","3","7","5f ","4yo+","3140","6",,
"2026-02-11","1.44.","Southwell","4th","Howzak","64.0000","14.2149","11.6678","4.9458","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","52.0872","0.0000","0.0000","0.0000","3.8412","150.7568","3.50","Handicap","Garritty, Billy","Bailey, Liam","6","4","8","5f ","4yo+","3140","6",,
"2026-02-11","1.44.","Southwell","6th","Stash The Cash (IRE)","39.1100","29.0197","9.4472","8.7634","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","54.5719","0.0000","0.0000","0.0000","3.2713","144.1835","7.00","Handicap","Fentiman, Duran","Dunne, M","6","6","5","5f ","4yo+","3140","6",,
"2026-02-11","1.44.","Southwell","5th","Fortunate Star (IRE)","46.2500","13.9443","9.3262","6.0157","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","57.9475","0.0000","0.0000","0.0000","4.5443","138.0280","5.50","Handicap","Stammers, Oliver","Hanlon, Stephen","6","5","6","5f ","4yo+","3140","6",,
"2026-02-11","1.44.","Southwell","2nd","Top Star (IRE)","39.1700","16.7069","6.8310","6.4208","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","51.6835","0.0000","0.0000","0.0000","0.9000","121.7121","22.00","Handicap","ONeill, K T","Ivory, D K","6","2","4","5f ","4yo+","3140","6",,
"2026-02-11","2.00.","Hereford","2nd","Douglas Hyde (IRE)","72.2689","27.4365","21.2070","9.9752","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","68.8400","0.0000","0.0000","0.0000","1.6666","201.3942","1.75","Maiden Hurdle","Jones, Ben R","Curtis, Miss Rebecca","3","2","6","3m2f ","5yo+","5446","4",,
