race_date,time,track,placing,horse_name,last,last2,last3,last4,last5,last6,last7,last8,last9,last10,leveller,speed,jockey,trainer,stallion,today,total,odds_numerical,racetype,jockey_name,trainer_name,runners,placing_num,HorseAge,Distance,AgeRestrictions,WinPrizeMoney,UKClass,MajorType,
"2026-02-14","12.35.","Wincanton","1st","Eton Mes (IRE)","76.8000","27.2453","12.1236","7.4837","2.9863","3.4576","1.9510","0.0000","0.0000","0.0000","4.8762","48.6000","2.3668","1.3331","0.0000","1.2859","190.5095","2.50","Handicap Hurdle","Corcoran, Rian","Pipe, D E","7","1","5","2m6f ","4yo+","3697","5",,
"2026-02-14","12.35.","Wincanton","4th","Thankyouandplease (FR)","38.5080","16.4534","14.8622","11.2530","5.3908","4.0116","2.3386","2.3068","1.1361","1.1142","0.0000","60.4908","0.3978","0.7510","0.0000","1.7999","160.8143","18.00","Handicap Hurdle","Hanlon, Paddy","Hosie, Syd","7","4","6","2m6f ","4yo+","3697","5",,
"2026-02-14","12.35.","Wincanton","6th","Looking For Larry (IRE)","46.0225","14.4144","7.3156","8.3475","3.6260","2.3539","3.5880","1.8111","1.1308","0.8989","0.0000","62.8644","0.3903","0.3250","0.0000","3.4222","156.5107","10.00","Handicap Hurdle","Dodd, Murray","Dennis, T W","7","6","8","2m6f ","4yo+","3697","5",,
"2026-02-14","12.35.","Wincanton","2nd","At The Oche (IRE)","74.9350","24.4235","16.7796","12.4718","7.1557","3.8685","3.6643","0.0000","0.0000","0.0000","6.5780","0.0000","0.3117","1.5548","0.0000","2.8571","154.6000","1.38","Handicap Hurdle","Broughton, Tom","Twiston-Davies, N A","7","2","5","2m6f ","4yo+","3697","5",,
"2026-02-14","12.35.","Wincanton","3rd","Charlies Jetaway (IRE)","40.5779","23.1567","8.9153","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","20.8574","50.7300","1.1280","0.5843","0.0000","2.6000","148.5497","10.00","Handicap Hurdle","Palmer, Oscar","Hosie, Syd","7","3","5","2m6f ","4yo+","3697","5",,
"2026-02-14","12.35.","Wincanton","7th","Star Of Diamonds (IRE)","42.2000","25.4605","8.6990","8.8913","3.7173","3.8715","0.0000","0.0000","0.0000","0.0000","7.4244","36.1850","0.2400","1.0535","0.0000","0.3334","138.0760","5.00","Handicap Hurdle","Johnstone-baker, Cameron","Lavelle, Miss E C","7","7","7","2m6f ","4yo+","3697","5",,
"2026-02-14","12.35.","Wincanton","5th","Moonlight Artist","28.6179","18.2124","9.6150","4.1901","3.0282","5.3843","3.1049","1.0034","0.7039","0.8528","0.0000","56.7661","0.4287","1.4599","0.0000","3.8805","137.2481","14.00","Handicap Hurdle","OShea, Ciaran","Tizzard, Joe","7","5","8","2m6f ","4yo+","3697","5",,
"2026-02-14","12.45.","Gowran Park","1st","Madness Delle (FR)","60.1758","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","71.6092","62.8000","3.1018","1.8414","0.0000","3.0000","202.5282","0.40","Maiden Hurdle","Townend, P","Mullins, W P","10","1","4","2m ","4yo","6372","0",,
"2026-02-14","12.45.","Gowran Park","3rd","Arouet (FR)","89.7763","42.1554","14.6243","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","39.5188","0.0000","0.7108","1.3285","0.0000","4.1665","192.2806","3.50","Maiden Hurdle","King, D","Twomey, P","10","3","4","2m ","4yo","6372","0",,
"2026-02-14","12.45.","Gowran Park","5th","Whats New (IRE)","47.9341","24.0574","16.4526","4.8228","5.8951","5.7528","2.2186","1.9183","1.7999","1.7073","0.0000","65.0572","0.4785","0.6877","0.0000","1.4336","180.2160","18.00","Maiden Hurdle","Quirke, Cian","Slattery, Andrew","10","5","4","2m ","4yo","6372","0",,
