race_date,time,track,placing,horse_name,last,last2,last3,last4,last5,last6,last7,last8,last9,last10,leveller,speed,jockey,trainer,stallion,today,total,odds_numerical,racetype,jockey_name,trainer_name,runners,placing_num,HorseAge,Distance,AgeRestrictions,WinPrizeMoney,UKClass,MajorType,
"2026-02-10","12.48.","Lingfield","3rd","Freda (IRE)","85.0781","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","96.1808","0.0000","0.0000","0.4565","0.0000","4.2000","185.9154","2.50","Novices","Keenan, Darragh","Phelan, P M","3","3","4","7f ","4yo+","5400","4",,
"2026-02-10","12.48.","Lingfield","1st","Elements Of Fire","66.2967","32.4341","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","48.6379","0.0000","0.0000","0.6554","0.0000","6.0000","154.0240","1.50","Novices","Doyle, Hollie","Watson, Archie","3","1","4","7f ","4yo+","5400","4",,
"2026-02-10","12.48.","Lingfield","2nd","Holly Mist (IRE)","59.9068","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","67.7246","0.0000","0.0000","1.1637","0.0000","1.2000","129.9950","1.75","Novices","Mitchell, Jack","Varian, Roger","3","2","4","7f ","4yo+","5400","4",,
"2026-02-10","1.18.","Lingfield","1st","Profit Street (IRE)","57.9950","27.0990","13.9750","10.3070","5.9723","5.8355","3.2242","1.2466","1.2232","1.4880","0.0000","0.0000","0.0000","1.2270","0.0000","2.5709","132.1636","1.50","Handicap","Morris, Luke","Owen, J P","8","1","5","7f ","4yo+","3140","6",,
"2026-02-10","1.18.","Lingfield","4th","Ashford Hill","70.9000","16.1267","7.8780","5.0814","4.6521","3.8398","2.2061","1.7345","1.3697","0.7142","0.0000","0.0000","0.0000","0.8917","0.0000","4.1233","119.5176","6.50","Handicap","Chalmers, Isobelle","Davis, D J S Ffrench","8","4","5","7f ","4yo+","3140","6",,
"2026-02-10","1.18.","Lingfield","6th","Semser","54.4600","17.6507","11.7768","9.0145","7.0504","3.6872","2.9431","1.5293","1.5775","0.8558","0.0000","0.0000","0.0000","1.0032","0.0000","4.3711","115.9197","9.00","Handicap","Clutterbuck, Rhys","Moore, Gary and Josh","8","6","9","7f ","4yo+","3140","6",,
"2026-02-10","1.18.","Lingfield","2nd","Global Warning","51.7450","20.8507","13.7466","7.8948","3.6889","3.7595","1.8435","1.0283","1.0246","1.2949","0.0000","0.0000","0.0000","0.4066","0.0000","2.5102","109.7936","4.50","Handicap","Bowen, S D","Butler, John","8","2","10","7f ","4yo+","3140","6",,
"2026-02-10","1.18.","Lingfield","3rd","Tam Lin (IRE)","42.8200","24.6852","13.0837","10.9836","5.7504","3.1037","1.8395","1.6394","1.0426","1.0405","0.0000","0.0000","0.0000","0.3787","0.0000","1.9125","108.2797","3.33","Handicap","Carson, William","Carson, Anthony","8","3","4","7f ","4yo+","3140","6",,
"2026-02-10","1.18.","Lingfield","5th","Rumba Bay","47.4300","18.1598","12.5113","5.2460","4.4941","3.9362","2.9003","1.9623","1.6171","2.0989","0.0000","0.0000","0.0000","0.7347","0.0000","2.2887","103.3792","12.00","Handicap","Ryan, Rossa","Evans, P D","8","5","4","7f ","4yo+","3140","6",,
"2026-02-10","1.18.","Lingfield","8th","World Of Darcy (IRE)","45.9100","19.4796","9.1732","5.0786","6.3617","2.4480","2.0246","1.2605","0.9526","0.9611","0.0000","0.0000","0.0000","0.7322","0.0000","1.9608","96.3429","25.00","Handicap","Keenan, Darragh","Ryan, J","8","8","5","7f ","4yo+","3140","6",,
