race_date,time,track,placing,horse_name,last,last2,last3,last4,last5,last6,last7,last8,last9,last10,leveller,speed,jockey,trainer,stallion,today,total,odds_numerical,racetype,jockey_name,trainer_name,runners,placing_num,HorseAge,Distance,AgeRestrictions,WinPrizeMoney,UKClass,MajorType,
"2026-02-11","1.30.","Hereford","1st","The Procrastinator","60.2358","34.7405","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","48.3091","0.0000","0.0000","1.3550","0.0000","6.5000","151.1404","1.38","Maiden Hurdle","Scott, Luke","Newland, Dr R D P","9","1","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","PU","Whitletts","74.0355","26.2630","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","46.5378","0.0000","0.0000","1.5372","0.0000","1.0000","149.3735","1.38","Maiden Hurdle","Durrell, Tristan","Skelton, Daniel","9","0","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","2nd","Annies Angel (IRE)","41.3846","32.2877","12.5822","11.6408","6.3315","6.5153","5.3948","2.0791","1.9998","1.3917","0.0000","0.0000","0.0000","0.8219","0.0000","1.4667","123.8961","4.00","Maiden Hurdle","Bowen, James C","McGuinness, Adrian","9","2","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","6th","Athenas Dream","45.3759","25.5216","12.6775","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","23.7095","0.0000","0.0000","0.2815","0.0000","0.0000","107.5660","22.00","Maiden Hurdle","Best, J A","Dickin, Harriet","9","6","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","5th","Mya Du Clos (FR)","48.4685","17.6845","11.5031","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","20.7582","0.0000","0.0000","0.5279","0.0000","0.0000","98.9421","22.00","Maiden Hurdle","Tudor, Jack","Williams, Christian","9","5","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","7th","Prettylady (FR)","43.8924","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","49.6203","0.0000","0.0000","0.5267","0.0000","0.0000","94.0394","80.00","Maiden Hurdle","Wynne, Toby","Greenall, O / Guerriero, J","9","7","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","4th","Uptons Mighty Oak","38.1619","22.2775","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","30.8151","0.0000","0.0000","0.8550","0.0000","0.0000","92.1096","22.00","Maiden Hurdle","Hammond, Charlie","Newland, Dr R D P","9","4","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","3rd","Isabella Islay","38.5907","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","43.6268","0.0000","0.0000","0.5796","0.0000","0.0000","82.7970","50.00","Maiden Hurdle","Patrick, Richard","Boultbee-brooks, Clive","9","3","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","PU","Cantalice","39.4776","17.7680","9.0871","3.9722","3.5091","0.0000","0.0000","0.0000","0.0000","0.0000","8.0659","0.0000","0.0000","0.2523","0.0000","0.0000","82.1321","150.00","Maiden Hurdle","Bevan, Megan","Pickard, Ella","9","0","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.38.","Dundalk","6th","Sedro Woolley (IRE)","62.8546","28.4609","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","44.3246","0.0000","0.0000","0.2986","0.0000","0.0000","135.9387","2.13","Maiden","McDonogh, D P","McCreery, W","8","6","4","6f ","3yo+","6372","0",,
