race_date,time,track,placing,horse_name,last,last2,last3,last4,last5,last6,last7,last8,last9,last10,leveller,speed,jockey,trainer,stallion,today,total,odds_numerical,racetype,jockey_name,trainer_name,runners,placing_num,HorseAge,Distance,AgeRestrictions,WinPrizeMoney,UKClass,MajorType,
"2026-02-12","1.05.","Taunton","4th","Western Cross (IRE)","72.6448","16.1664","13.5537","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","26.5882","59.4394","0.5319","1.2914","0.0000","1.3334","191.5492","1.50","Maiden Hurdle","Houlihan, Sean M","Hobbs, P J / White, J","9","4","5","2m1f ","4yo+","5446","4",,
"2026-02-12","1.05.","Taunton","1st","A King Of Magic (FR)","56.9606","20.2671","12.3807","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","24.7485","65.1712","0.9873","2.3329","0.0000","0.0000","182.8484","4.50","Maiden Hurdle","Keighley, Freddie","Nicholls, P F","9","1","5","2m1f ","4yo+","5446","4",,
"2026-02-12","1.05.","Taunton","3rd","Babyken (FR)","50.9592","18.8001","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","34.3127","58.8400","3.2147","2.3329","0.0000","5.2000","173.6596","3.33","Maiden Hurdle","Cobden, Harry","Nicholls, P F","9","3","4","2m1f ","4yo+","5446","4",,
"2026-02-12","1.05.","Taunton","7th","Circle Of Secrets (FR)","53.7262","21.0543","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","37.1900","56.3227","0.5910","1.1332","0.0000","1.2000","171.2173","4.00","Maiden Hurdle","Broughton, Tom","OBrien, Fergal","9","7","4","2m1f ","4yo+","5446","4",,
"2026-02-12","1.05.","Taunton","2nd","Way Of Stars (IRE)","41.6139","24.2314","13.5760","10.9342","7.6369","5.6047","4.0164","2.3645","1.4505","1.2263","0.0000","52.1100","1.0403","1.1630","0.0000","2.5332","169.5013","5.50","Maiden Hurdle","Tudor, Jack","Pipe, D E","9","2","4","2m1f ","4yo+","5446","4",,
"2026-02-12","1.05.","Taunton","8th","Corner Forward (IRE)","46.2805","21.9797","9.3446","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","21.6421","55.7918","0.6372","1.3107","0.0000","0.0000","156.9866","200.00","Maiden Hurdle","McLernon, R P","Honeyball, A J","9","8","5","2m1f ","4yo+","5446","4",,
"2026-02-12","1.05.","Taunton","6th","Deauville Lady","39.9205","12.8167","7.1147","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","15.8206","45.6494","0.6790","0.5809","0.0000","0.7000","123.2816","150.00","Maiden Hurdle","Davies, James","Hawke, N J","9","6","5","2m1f ","4yo+","5446","4",,
"2026-02-12","1.05.","Taunton","5th","Louis Des Landes (FR)","28.9378","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","34.4360","39.6300","1.8102","1.4121","0.0000","0.0000","106.2260","150.00","Maiden Hurdle","Powell, Brendan","Tizzard, Joe","9","5","5","2m1f ","4yo+","5446","4",,
"2026-02-12","1.05.","Taunton","9th","Follow The Plan","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.6970","1.1630","0.0000","0.7000","3.5600","100.00","Maiden Hurdle","Corcoran, Rian","Pipe, D E","9","9","5","2m1f ","4yo+","5446","4",,
"2026-02-12","1.23.","Lingfield","3rd","Rising Force (IRE)","55.5850","28.1250","10.7200","6.0707","4.6629","4.6974","3.3051","1.2406","1.1555","1.4892","0.0000","56.6000","0.3471","0.8161","0.0000","3.4584","178.2730","6.00","Handicap","Vigors, Harry","Holland, Darryll","7","3","5","1m2f ","4yo+","4711","6",,
