race_date,time,track,placing,horse_name,last,last2,last3,last4,last5,last6,last7,last8,last9,last10,leveller,speed,jockey,trainer,stallion,today,total,odds_numerical,racetype,jockey_name,trainer_name,runners,placing_num,HorseAge,Distance,AgeRestrictions,WinPrizeMoney,UKClass,MajorType,
"2026-02-07","12.35.","Lingfield","2nd","Thankfully Simmy","52.0766","45.5136","48.1111","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","339.9697","58.9130","0.0000","0.0000","0.0000","1.2000","545.7840","3.50","Handicap","Fentiman, Warren","Fahey, R A","5","2","3","6f ","3yo","3768","6",,
"2026-02-07","12.35.","Lingfield","1st","Al Najashi","63.7000","46.6162","35.5575","34.8382","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","271.0678","65.5470","0.0000","0.0000","0.0000","2.5000","519.8267","0.50","Handicap","Horgan, C","Sangster, Ollie","5","1","3","6f ","3yo","3768","6",,
"2026-02-07","12.35.","Lingfield","4th","Mister Moet (IRE)","32.9904","49.0696","46.3623","33.6958","47.7243","33.1520","35.3702","50.2323","37.9189","80.6969","0.0000","57.4061","0.0000","0.0000","0.0000","1.8330","506.4519","8.00","Handicap","Mortensen, Mikkel","Dixon, Scott","5","4","3","6f ","3yo","3768","6",,
"2026-02-07","12.35.","Lingfield","5th","Euphonia","35.1672","35.7348","33.2929","46.9986","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","226.7904","49.8000","0.0000","0.0000","0.0000","-0.7000","427.0839","14.00","Handicap","Lewis, Ashley","Walker, Ed","5","5","3","6f ","3yo","3768","6",,
"2026-02-07","12.35.","Lingfield","3rd","Real Gold","36.8632","42.5318","27.6577","39.3978","38.2354","42.5187","35.6689","0.0000","0.0000","0.0000","112.6601","49.7287","0.0000","0.0000","0.0000","1.1000","426.3624","20.00","Handicap","Kavanagh, Ryan","Bridger, J / Cook, R","5","3","3","6f ","3yo","3768","6",,
"2026-02-07","12.40.","Warwick","1st","Just Golden (IRE)","87.0206","81.3022","58.0774","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","528.2671","82.5123","0.0000","0.0000","0.0000","2.0000","839.1796","1.20","Maiden Hurdle","Durrell, Tristan","Skelton, Daniel","7","1","6","2m3f ","4yo+","5281","4",,
"2026-02-07","12.40.","Warwick","PU","Mr Finch (IRE)","64.9732","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","584.7592","70.3900","0.0000","0.0000","0.0000","0.0000","720.1224","6.00","Maiden Hurdle","Jones, Ben R","Pauling, Ben","7","0","6","2m3f ","4yo+","5281","4",,
"2026-02-07","12.40.","Warwick","3rd","Piping Rock (IRE)","53.6977","70.9511","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","498.5951","77.1515","0.0000","0.0000","0.0000","0.0000","700.3954","3.00","Maiden Hurdle","Sheehan, Gavin","Lavelle, Miss E C","7","3","5","2m3f ","4yo+","5281","4",,
"2026-02-07","12.40.","Warwick","4th","Limerick Star (IRE)","65.3727","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","588.3547","0.0000","0.0000","0.0000","0.0000","0.0000","653.7275","8.50","Maiden Hurdle","Stenhouse, Jack","Hobbs, P J / White, J","7","4","6","2m3f ","4yo+","5281","4",,
"2026-02-07","12.40.","Warwick","2nd","Chasing Glance","49.6424","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","446.7812","64.0000","0.0000","0.0000","0.0000","0.0000","560.4236","11.00","Maiden Hurdle","Andrews, Jack","Ellis, T","7","2","8","2m3f ","4yo+","5281","4",,
