race_date,time,track,placing,horse_name,last,last2,last3,last4,last5,last6,last7,last8,last9,last10,leveller,speed,jockey,trainer,stallion,today,total,odds_numerical,racetype,jockey_name,trainer_name,runners,placing_num,HorseAge,Distance,AgeRestrictions,WinPrizeMoney,UKClass,MajorType,
"2026-02-11","1.30.","Hereford","PU","Whitletts","59.4740","48.4793","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","431.8134","63.5385","0.0000","0.0000","0.0000","0.0000","603.3052","1.38","Maiden Hurdle","Durrell, Tristan","Skelton, Daniel","9","0","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","6th","Athenas Dream","43.3218","49.5617","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","371.5341","54.3047","0.0000","0.0000","0.0000","0.0000","518.7223","22.00","Maiden Hurdle","Best, J A","Dickin, Harriet","9","6","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","5th","Mya Du Clos (FR)","45.7254","36.8494","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","330.2992","63.6722","0.0000","0.0000","0.0000","0.0000","476.5462","22.00","Maiden Hurdle","Tudor, Jack","Williams, Christian","9","5","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","7th","Prettylady (FR)","41.2000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","370.7996","49.8100","0.0000","0.0000","0.0000","0.0000","461.8096","80.00","Maiden Hurdle","Wynne, Toby","Greenall, O / Guerriero, J","9","7","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","2nd","Annies Angel (IRE)","38.5350","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","346.8152","53.2846","0.0000","0.0000","0.0000","1.0000","439.6349","4.00","Maiden Hurdle","Bowen, James C","McGuinness, Adrian","9","2","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","PU","Cantalice","37.7254","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","339.5289","47.6900","0.0000","0.0000","0.0000","0.0000","424.9444","150.00","Maiden Hurdle","Bevan, Megan","Pickard, Ella","9","0","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","4th","Uptons Mighty Oak","36.3890","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","327.5009","57.4038","0.0000","0.0000","0.0000","0.0000","421.2937","22.00","Maiden Hurdle","Hammond, Charlie","Newland, Dr R D P","9","4","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","3rd","Isabella Islay","36.3452","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","327.1072","51.4200","0.0000","0.0000","0.0000","0.0000","414.8724","50.00","Maiden Hurdle","Patrick, Richard","Boultbee-brooks, Clive","9","3","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.30.","Hereford","1st","The Procrastinator","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","72.2869","0.0000","0.0000","0.0000","5.0000","77.2869","1.38","Maiden Hurdle","Scott, Luke","Newland, Dr R D P","9","1","4","2m.5f ","4yo","5446","4",,
"2026-02-11","1.38.","Dundalk","6th","Sedro Woolley (IRE)","54.7647","52.5987","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","429.4536","56.6787","0.0000","0.0000","0.0000","0.0000","593.4956","2.13","Maiden","McDonogh, D P","McCreery, W","8","6","4","6f ","3yo+","6372","0",,
